Genome Cluster ID,Number of Non-redundant Genomes
Cluster_3523,1
Cluster_3524,1
Cluster_3525,1
Cluster_3526,1
Cluster_3527,2
Cluster_3528,1
Cluster_3529,1
Cluster_353,139
Cluster_3530,1
Cluster_3531,1
Cluster_3532,44
Cluster_3533,1
Cluster_3534,1
Cluster_3535,2
Cluster_3536,27
Cluster_3537,38
Cluster_3538,24
Cluster_3539,2
Cluster_354,2
Cluster_3540,86
Cluster_3541,107
Cluster_3542,2
Cluster_3543,3
Cluster_3544,2
Cluster_3545,23
Cluster_3546,7
Cluster_3547,1
Cluster_3548,45
Cluster_3549,1
Cluster_355,1
Cluster_3550,6
Cluster_3551,1
Cluster_3552,1
Cluster_3553,2
Cluster_3554,2
Cluster_3555,14
Cluster_3556,1
Cluster_3557,10
Cluster_3558,2
Cluster_3559,7
Cluster_356,6
Cluster_3560,1
Cluster_3561,3
Cluster_3562,6
Cluster_3563,7
Cluster_3564,1
Cluster_3565,2
Cluster_3566,1
Cluster_3567,2
Cluster_3568,1
Cluster_3569,1
Cluster_357,1583
Cluster_3570,3
Cluster_3571,1
Cluster_3572,1
Cluster_3573,1
Cluster_3574,1
Cluster_3575,3
Cluster_3576,1
Cluster_3577,1
Cluster_3578,1
Cluster_3579,1
Cluster_358,16
Cluster_3580,68
Cluster_3581,43
Cluster_3582,3
Cluster_3583,16
Cluster_3584,41
Cluster_3585,164
Cluster_3586,37
Cluster_3587,1
Cluster_3588,1
Cluster_3589,1
Cluster_359,182
Cluster_3590,1
Cluster_3591,35
Cluster_3592,4
Cluster_3593,650
Cluster_3594,1295
Cluster_3595,286
Cluster_3596,111
Cluster_3597,5
Cluster_3598,1
Cluster_3599,8
Cluster_36,669
Cluster_360,2
Cluster_3600,2
Cluster_3601,1
Cluster_3602,6
Cluster_3603,1
Cluster_3604,1
Cluster_3605,28
Cluster_3606,46
Cluster_3607,37
Cluster_3608,3
Cluster_3609,15
Cluster_361,4
Cluster_3610,2
Cluster_3611,7
Cluster_3612,1
Cluster_3613,1
Cluster_3614,1
Cluster_3615,2
Cluster_3616,1
Cluster_3617,1
Cluster_3618,2
Cluster_3619,3
Cluster_362,376
Cluster_3620,1
Cluster_3621,1
Cluster_3622,1
Cluster_3623,1
Cluster_3624,1
Cluster_3625,3
Cluster_3626,3
Cluster_3627,6
Cluster_3628,108
Cluster_3629,1
Cluster_363,118
Cluster_3630,21
Cluster_3631,45
Cluster_3632,4
Cluster_3633,152
Cluster_3634,21
Cluster_3635,2
Cluster_3636,9
Cluster_3637,3
Cluster_3638,342
Cluster_3639,150
Cluster_364,50
Cluster_3640,4
Cluster_3641,73
Cluster_3642,7
Cluster_3643,29
Cluster_3644,40
Cluster_3645,117
Cluster_3646,1113
Cluster_3647,664
Cluster_3648,374
Cluster_3649,645
Cluster_365,2
Cluster_3650,7
Cluster_3651,5
Cluster_3652,40
Cluster_3653,1
Cluster_3654,190
Cluster_3655,1
Cluster_3656,2
Cluster_3657,1
Cluster_3658,1
Cluster_3659,24
Cluster_366,1
Cluster_3660,1
Cluster_3661,64
Cluster_3662,4
Cluster_3663,1
Cluster_3664,2
Cluster_3665,1
Cluster_3666,4
Cluster_3667,1
Cluster_3668,3
Cluster_3669,6
Cluster_367,152
Cluster_3670,3
Cluster_3671,4
Cluster_3672,1
Cluster_3673,1
Cluster_3674,1
Cluster_3675,2
Cluster_3676,1
Cluster_3677,2
Cluster_3678,1
Cluster_3679,7
Cluster_368,50
Cluster_3680,3
Cluster_3681,16
Cluster_3682,1
Cluster_3683,44
Cluster_3684,3
Cluster_3685,22
Cluster_3686,6
Cluster_3687,6
Cluster_3688,2
Cluster_3689,5
Cluster_369,1757
Cluster_3690,35
Cluster_3691,94
Cluster_3692,6
Cluster_3693,1
Cluster_3694,1
Cluster_3695,1
Cluster_3696,21
Cluster_3697,1
Cluster_3698,1
Cluster_3699,1
Cluster_37,104
Cluster_370,1
Cluster_3700,2
Cluster_3701,1
Cluster_3702,1
Cluster_3703,1
Cluster_3704,1
Cluster_3705,1
Cluster_3706,5
Cluster_3707,2
Cluster_3708,5
Cluster_3709,2
Cluster_371,7
Cluster_3710,2011
Cluster_3711,11
Cluster_3712,4
Cluster_3713,1
Cluster_3714,1
Cluster_3715,1
Cluster_3716,1
Cluster_3717,8
Cluster_3718,22
Cluster_3719,1
Cluster_372,132
Cluster_3720,1
Cluster_3721,1
Cluster_3722,9
Cluster_3723,1
Cluster_3724,23
Cluster_3725,8
Cluster_3726,1
Cluster_3727,4
Cluster_3728,4
Cluster_3729,4
Cluster_373,196
Cluster_3730,28
Cluster_3731,1
Cluster_3732,1
Cluster_3733,2
Cluster_3734,35
Cluster_3735,31
Cluster_3736,1
Cluster_3737,1
Cluster_3738,2
Cluster_3739,1
Cluster_374,6
Cluster_3740,6
Cluster_3741,2
Cluster_3742,2
Cluster_3743,53
Cluster_3744,1
Cluster_3745,2
Cluster_3746,1
Cluster_3747,23
Cluster_3748,12
Cluster_3749,1
Cluster_375,4
Cluster_3750,1
Cluster_3751,1
Cluster_3752,1
Cluster_3753,3
Cluster_3754,1
Cluster_3755,36
Cluster_3756,21
Cluster_3757,4
Cluster_3758,2
Cluster_3759,25
Cluster_376,1
Cluster_3760,2
Cluster_3761,4
Cluster_3762,1
Cluster_3763,6
Cluster_3764,6
Cluster_3765,48
Cluster_3766,4
Cluster_3767,1
Cluster_3768,1
Cluster_3769,3
Cluster_377,485
Cluster_3770,5
Cluster_3771,1
Cluster_3772,17
Cluster_3773,41
Cluster_3774,2
Cluster_3775,1
Cluster_3776,3
Cluster_3777,7
Cluster_3778,1
Cluster_3779,1
Cluster_378,4
Cluster_3780,1
Cluster_3781,3
Cluster_3782,2
Cluster_3783,7
Cluster_3784,3
Cluster_3785,1
Cluster_3786,1
Cluster_3787,2
Cluster_3788,2
Cluster_3789,4
Cluster_379,38
Cluster_3790,6
Cluster_3791,1
Cluster_3792,1
Cluster_3793,17
Cluster_3794,4
Cluster_3795,1
Cluster_3796,75
Cluster_3797,3
Cluster_3798,1
Cluster_3799,1
Cluster_38,21
Cluster_380,118
Cluster_3800,1
Cluster_3801,1
Cluster_3802,1
Cluster_3803,2
Cluster_3804,168
Cluster_3805,23
Cluster_3806,80
Cluster_3807,2
Cluster_3808,100
Cluster_3809,1
Cluster_381,140
Cluster_3810,2
Cluster_3811,57
Cluster_3812,1
Cluster_3813,16
Cluster_3814,6
Cluster_3815,153
Cluster_3816,1
Cluster_3817,1
Cluster_3818,2
Cluster_3819,1
Cluster_382,798
Cluster_3820,1
Cluster_3821,6
Cluster_3822,12
Cluster_3823,9
Cluster_3824,1
Cluster_3825,1
Cluster_3826,8
Cluster_3827,2
Cluster_3828,3
Cluster_3829,6
Cluster_383,127
Cluster_3830,1
Cluster_3831,2
Cluster_3832,9
Cluster_3833,3
Cluster_3834,2
Cluster_3835,10
Cluster_3836,18
Cluster_3837,6
Cluster_3838,2
Cluster_3839,1
Cluster_384,537
Cluster_3840,39
Cluster_3841,1
Cluster_3842,2
Cluster_3843,1
Cluster_3844,1
Cluster_3845,1
Cluster_3846,1
Cluster_3847,1
Cluster_3848,26
Cluster_3849,10
Cluster_385,76
Cluster_3850,15
Cluster_3851,2
Cluster_3852,14
Cluster_3853,2
Cluster_3854,6
Cluster_3855,47
Cluster_3856,2
Cluster_3857,9
Cluster_3858,7
Cluster_3859,1
Cluster_386,3
Cluster_3860,3
Cluster_3861,1
Cluster_3862,1
Cluster_3863,2
Cluster_3864,1
Cluster_3865,2
Cluster_3866,1
Cluster_3867,63
Cluster_3868,2
Cluster_3869,4
Cluster_387,91
Cluster_3870,9
Cluster_3871,19
Cluster_3872,3
Cluster_3873,1
Cluster_3874,3
Cluster_3875,1
Cluster_3876,3
Cluster_3877,1
Cluster_3878,1
Cluster_3879,4
Cluster_388,2445
Cluster_3880,1
Cluster_3881,2
Cluster_3882,4
Cluster_3883,7
Cluster_3884,7
Cluster_3885,2
Cluster_3886,1
Cluster_3887,16
Cluster_3888,57
Cluster_3889,2
Cluster_389,1658
Cluster_3890,1
Cluster_3891,56
Cluster_3892,4
Cluster_3893,1
Cluster_3894,1
Cluster_3895,1
Cluster_3896,1
Cluster_3897,6
Cluster_3898,19
Cluster_3899,51
Cluster_39,16
Cluster_390,24
Cluster_3900,70
Cluster_3901,1
Cluster_3902,1
Cluster_3903,1
Cluster_3904,20
Cluster_3905,4
Cluster_3906,1289
Cluster_3907,1
Cluster_3908,160
Cluster_3909,396
Cluster_391,16
Cluster_3910,45
Cluster_3911,1
Cluster_3912,1
Cluster_3913,1
Cluster_3914,5
Cluster_3915,7
Cluster_3916,14
Cluster_3917,4
Cluster_3918,1
Cluster_3919,7
Cluster_392,1
Cluster_3920,10
Cluster_3921,180
Cluster_3922,44
Cluster_3923,2
Cluster_3924,19
Cluster_3925,23
Cluster_3926,42
Cluster_3927,1
Cluster_3928,3
Cluster_3929,2
Cluster_393,3
Cluster_3930,1
Cluster_3931,1
Cluster_3932,9
Cluster_3933,4
Cluster_3934,3
Cluster_3935,1
Cluster_3936,3
Cluster_3937,4
Cluster_3938,19
Cluster_3939,15
Cluster_394,1
Cluster_3940,13
Cluster_3941,2
Cluster_3942,16
Cluster_3943,25
Cluster_3944,5
Cluster_3945,3
Cluster_3946,4
Cluster_3947,2
Cluster_3948,8
Cluster_3949,2
Cluster_395,28
Cluster_3950,1
Cluster_3951,3
Cluster_3952,11
Cluster_3953,3
Cluster_3954,2
Cluster_3955,19
Cluster_3956,3
Cluster_3957,1
Cluster_3958,22
Cluster_3959,3
Cluster_396,2
Cluster_3960,4
Cluster_3961,1
Cluster_3962,204
Cluster_3963,175
Cluster_3964,696
Cluster_3965,41
Cluster_3966,103
Cluster_3967,2
Cluster_3968,52
Cluster_3969,103
Cluster_397,2
Cluster_3970,88
Cluster_3971,27
Cluster_3972,1
Cluster_3973,3
Cluster_3974,3
Cluster_3975,12
Cluster_3976,1
Cluster_3977,18
Cluster_3978,2
Cluster_3979,1
Cluster_398,2695
Cluster_3980,3
Cluster_3981,4
Cluster_3982,2
Cluster_3983,137
Cluster_3984,26
Cluster_3985,5
Cluster_3986,1
Cluster_3987,29
Cluster_3988,256
Cluster_3989,3
Cluster_399,2
Cluster_3990,8
Cluster_3991,6
Cluster_3992,25
Cluster_3993,1
Cluster_3994,1
Cluster_3995,159
Cluster_3996,2
Cluster_3997,1
Cluster_3998,4
Cluster_3999,1
Cluster_4,20
Cluster_40,67
Cluster_400,1
Cluster_4000,1
Cluster_4001,2
Cluster_4002,1
Cluster_4003,3
Cluster_4004,1
Cluster_4005,1
Cluster_4006,1
Cluster_4007,81
Cluster_4008,4
Cluster_4009,21
Cluster_401,2
Cluster_4010,6
Cluster_4011,4
Cluster_4012,5
Cluster_4013,3
Cluster_4014,22
Cluster_4015,7
Cluster_4016,2
Cluster_4017,1
Cluster_4018,319
Cluster_4019,2
Cluster_402,1
Cluster_4020,3
Cluster_4021,2
Cluster_4022,2
Cluster_4023,2
Cluster_4024,16
Cluster_4025,1
Cluster_4026,6
Cluster_4027,1
Cluster_4028,1
Cluster_4029,2
Cluster_403,118
Cluster_4030,1
Cluster_4031,3
Cluster_4032,1
Cluster_4033,1
Cluster_4034,26
Cluster_4035,3
Cluster_4036,10
Cluster_4037,21
Cluster_4038,100
Cluster_4039,2
Cluster_404,4
Cluster_4040,568
Cluster_4041,16
Cluster_4042,88
Cluster_4043,14
Cluster_4044,1
Cluster_4045,3
Cluster_4046,3
Cluster_4047,1
Cluster_4048,2
Cluster_4049,1
Cluster_405,1
Cluster_4050,1
Cluster_4051,1
Cluster_4052,1
Cluster_4053,2
Cluster_4054,5
Cluster_4055,3
Cluster_4056,4
Cluster_4057,1
Cluster_4058,2
Cluster_4059,12
Cluster_406,56
Cluster_4060,8
Cluster_4061,4
Cluster_4062,2
Cluster_4063,6
Cluster_4064,5
Cluster_4065,2
Cluster_4066,84
Cluster_4067,2
Cluster_4068,1
Cluster_4069,10
Cluster_407,6
Cluster_4070,2
Cluster_4071,101
Cluster_4072,3
Cluster_4073,1
Cluster_4074,1
Cluster_4075,1
Cluster_4076,1
Cluster_4077,7
Cluster_4078,62
Cluster_4079,1
Cluster_408,13
Cluster_4080,1
Cluster_4081,1
Cluster_4082,66
Cluster_4083,1
Cluster_4084,2
Cluster_4085,3
Cluster_4086,14
Cluster_4087,1
Cluster_4088,1
Cluster_4089,182
Cluster_409,97
Cluster_4090,8
Cluster_4091,23
Cluster_4092,32
Cluster_4093,70
Cluster_4094,1
Cluster_4095,12
Cluster_4096,1
Cluster_4097,1
Cluster_4098,4
Cluster_4099,4
Cluster_41,11
Cluster_410,1
Cluster_4100,2
Cluster_4101,1
Cluster_4102,8
Cluster_4103,4
Cluster_4104,2
Cluster_4105,5
Cluster_4106,1
Cluster_4107,2
Cluster_4108,7
Cluster_4109,1
Cluster_411,750
Cluster_4110,11
Cluster_4111,1
Cluster_4112,1
Cluster_4113,1
Cluster_4114,3
Cluster_4115,2
Cluster_4116,434
Cluster_4117,3
Cluster_4118,16
Cluster_4119,10
Cluster_412,60
Cluster_4120,1
Cluster_4121,10
Cluster_4122,6
Cluster_4123,4
Cluster_4124,2
Cluster_4125,5
Cluster_4126,1
Cluster_4127,91
Cluster_4128,2
Cluster_4129,2
Cluster_413,6193
Cluster_4130,10
Cluster_4131,1
Cluster_4132,1
Cluster_4133,9
Cluster_4134,167
Cluster_4135,9
Cluster_4136,1
Cluster_4137,1
Cluster_4138,1
Cluster_4139,4
Cluster_414,15
Cluster_4140,2
Cluster_4141,4
Cluster_4142,11
Cluster_4143,2
Cluster_4144,3
Cluster_4145,19
Cluster_4146,47
Cluster_4147,7
Cluster_4148,41
Cluster_4149,8
Cluster_415,11
Cluster_4150,3
Cluster_4151,3
Cluster_4152,1
Cluster_4153,73
Cluster_4154,1
Cluster_4155,8
Cluster_4156,5
Cluster_4157,3
Cluster_4158,1
Cluster_4159,1
Cluster_416,35
Cluster_4160,8
Cluster_4161,1
Cluster_4162,4
Cluster_4163,1
Cluster_4164,3
Cluster_4165,10
Cluster_4166,7
Cluster_4167,31
Cluster_4168,1
Cluster_4169,49
Cluster_417,2078
Cluster_4170,2
Cluster_4171,3
Cluster_4172,1
Cluster_4173,3
Cluster_4174,3
Cluster_4175,3
Cluster_4176,1
Cluster_4177,18
Cluster_4178,1
Cluster_4179,8
Cluster_418,699
Cluster_4180,9
Cluster_4181,3
Cluster_4182,24
Cluster_4183,6
Cluster_4184,1
Cluster_4185,1
Cluster_4186,2
Cluster_4187,2
Cluster_4188,1
Cluster_4189,1
Cluster_419,2436
Cluster_4190,1
Cluster_4191,1
Cluster_4192,1
Cluster_4193,2
Cluster_4194,29
Cluster_4195,3
Cluster_4196,1
Cluster_4197,6
Cluster_4198,2
Cluster_4199,13
Cluster_42,147
Cluster_420,1
Cluster_4200,1
Cluster_4201,1
Cluster_4202,6
Cluster_4203,2
Cluster_4204,26
Cluster_4205,5
Cluster_4206,27
Cluster_4207,3
Cluster_4208,8
Cluster_4209,16
Cluster_421,1
Cluster_4210,9
Cluster_4211,1
Cluster_4212,3
Cluster_4213,5
Cluster_4214,2
Cluster_4215,2
Cluster_4216,1
Cluster_4217,3
Cluster_4218,1
Cluster_4219,1
Cluster_422,75
Cluster_4220,5
Cluster_4221,31
Cluster_4222,90
Cluster_4223,6
Cluster_4224,1
Cluster_4225,1
Cluster_4226,5
Cluster_4227,1
Cluster_4228,1
Cluster_4229,4
Cluster_423,663
Cluster_4230,1
Cluster_4231,1
Cluster_4232,1
Cluster_4233,1
Cluster_4234,7
Cluster_4235,3
Cluster_4236,11
Cluster_4237,28
Cluster_4238,3
Cluster_4239,2
Cluster_424,140
Cluster_4240,1
Cluster_4241,1
Cluster_4242,1
Cluster_4243,85
Cluster_4244,4
Cluster_4245,1
Cluster_4246,45
Cluster_4247,3
Cluster_4248,1
Cluster_4249,424
Cluster_425,2
Cluster_4250,20
Cluster_4251,6
Cluster_4252,103
Cluster_4253,1
Cluster_4254,1387
Cluster_4255,10
Cluster_4256,9
Cluster_4257,2
Cluster_4258,1
Cluster_4259,1
Cluster_426,1
Cluster_4260,2
Cluster_4261,3
Cluster_4262,3
Cluster_4263,1
Cluster_4264,10
Cluster_4265,3
Cluster_4266,4
Cluster_4267,11
Cluster_4268,18
Cluster_4269,8
Cluster_427,1
Cluster_4270,1
Cluster_4271,1
Cluster_4272,1
Cluster_4273,4
Cluster_4274,2
Cluster_4275,2
Cluster_4276,1
Cluster_4277,8
Cluster_4278,10
Cluster_4279,143
Cluster_428,1
Cluster_4280,12
Cluster_4281,17
Cluster_4282,2
Cluster_4283,7
Cluster_4284,3
Cluster_4285,115
Cluster_4286,29
Cluster_4287,1
Cluster_4288,1
Cluster_4289,18
Cluster_429,792
Cluster_4290,4
Cluster_4291,27
Cluster_4292,24
Cluster_4293,134
Cluster_4294,1
Cluster_4295,1
Cluster_4296,2
Cluster_4297,3
Cluster_4298,12
Cluster_4299,5
Cluster_43,4
Cluster_430,147
Cluster_4300,1
Cluster_4301,5
Cluster_4302,2
Cluster_4303,1
Cluster_4304,2
Cluster_4305,1
Cluster_4306,19
Cluster_4307,1
Cluster_4308,11
Cluster_4309,4
Cluster_431,1
Cluster_4310,2
Cluster_4311,4
Cluster_4312,28
Cluster_4313,155
Cluster_4314,1
Cluster_4315,1
Cluster_4316,3
Cluster_4317,2
Cluster_4318,7
Cluster_4319,1
Cluster_432,1
Cluster_4320,2
Cluster_4321,1
Cluster_4322,1
Cluster_4323,19
Cluster_4324,20
Cluster_4325,8
Cluster_4326,3
Cluster_4327,11
Cluster_4328,1
Cluster_4329,1
Cluster_433,55
Cluster_4330,2
Cluster_4331,11
Cluster_4332,15
Cluster_4333,14
Cluster_4334,2
Cluster_4335,8
Cluster_4336,3
Cluster_4337,2
Cluster_4338,1
Cluster_4339,3
Cluster_434,1
Cluster_4340,9
Cluster_4341,35
Cluster_4342,11
Cluster_4343,4
Cluster_4344,1
Cluster_4345,1
Cluster_4346,27
Cluster_4347,7
Cluster_4348,1
Cluster_4349,489
Cluster_435,4
Cluster_4350,5
Cluster_4351,7
Cluster_4352,5
Cluster_4353,5
Cluster_4354,4
Cluster_4355,1
Cluster_4356,1
Cluster_4357,1
Cluster_4358,2
Cluster_4359,1
Cluster_436,19
Cluster_4360,1
Cluster_4361,1
Cluster_4362,7
Cluster_4363,35
Cluster_4364,82
Cluster_4365,273
Cluster_4366,1
Cluster_4367,1
Cluster_4368,1
Cluster_4369,5
Cluster_437,16
Cluster_4370,2
Cluster_4371,1
Cluster_4372,3
Cluster_4373,1
Cluster_4374,1
Cluster_4375,5
Cluster_4376,5
Cluster_4377,12
Cluster_4378,4
Cluster_4379,1
Cluster_438,11
Cluster_4380,3
Cluster_4381,20
Cluster_4382,1
Cluster_4383,1
Cluster_4384,2
Cluster_4385,17
Cluster_4386,1
Cluster_4387,3
Cluster_4388,1
Cluster_4389,1
Cluster_439,985
Cluster_4390,1
Cluster_4391,1
Cluster_4392,3
Cluster_4393,5
Cluster_4394,11
Cluster_4395,5
Cluster_4396,3
Cluster_4397,138
Cluster_4398,3
Cluster_4399,11
Cluster_44,31
Cluster_440,3030
Cluster_4400,4
Cluster_4401,4
Cluster_4402,3
Cluster_4403,1
Cluster_4404,1
Cluster_4405,1
Cluster_4406,1
Cluster_4407,1
Cluster_4408,2
Cluster_4409,1
Cluster_441,124
Cluster_4410,1
Cluster_4411,1
Cluster_4412,2
Cluster_4413,7
Cluster_4414,1
Cluster_4415,33
Cluster_4416,1
Cluster_4417,1
Cluster_4418,2
Cluster_4419,2
Cluster_442,7
Cluster_4420,32
Cluster_4421,7
Cluster_4422,1
Cluster_4423,3
Cluster_4424,1
Cluster_4425,17
Cluster_4426,2
Cluster_4427,1
Cluster_4428,5
Cluster_4429,2
Cluster_443,9
Cluster_4430,1
Cluster_4431,2
Cluster_4432,1
Cluster_4433,67
Cluster_4434,1
Cluster_4435,1
Cluster_4436,1
Cluster_4437,19
Cluster_4438,4
Cluster_4439,3
Cluster_444,287
Cluster_4440,2
Cluster_4441,8
Cluster_4442,2
Cluster_4443,1
Cluster_4444,2
Cluster_4445,2
Cluster_4446,1
Cluster_4447,2
Cluster_4448,4
Cluster_4449,6
Cluster_445,561
Cluster_4450,7
Cluster_4451,4
Cluster_4452,14
Cluster_4453,4
Cluster_4454,3
Cluster_4455,3
Cluster_4456,19
Cluster_4457,69
Cluster_4458,1
Cluster_4459,4
Cluster_446,105
Cluster_4460,4
Cluster_4461,12
Cluster_4462,1
Cluster_4463,4
Cluster_4464,166
Cluster_4465,1
Cluster_4466,4
Cluster_4467,2
Cluster_4468,3
Cluster_4469,7
Cluster_447,3079
Cluster_4470,2
Cluster_4471,3
Cluster_4472,3
Cluster_4473,1
Cluster_4474,3
Cluster_4475,78
Cluster_4476,2
Cluster_4477,75
Cluster_4478,1
Cluster_4479,2
Cluster_448,689
Cluster_4480,12
Cluster_4481,1
Cluster_4482,14
Cluster_4483,2
Cluster_4484,1
Cluster_4485,3
Cluster_4486,1
Cluster_4487,8
Cluster_4488,4
Cluster_4489,1
Cluster_449,8
Cluster_4490,2
Cluster_4491,21
Cluster_4492,2
Cluster_4493,14
Cluster_4494,13
Cluster_4495,1
Cluster_4496,2
Cluster_4497,7
Cluster_4498,2
Cluster_4499,12
Cluster_45,104
Cluster_450,19
Cluster_4500,6
Cluster_4501,7
Cluster_4502,4
Cluster_4503,3
Cluster_4504,1
Cluster_4505,1
Cluster_4506,1
Cluster_4507,1
Cluster_4508,1
Cluster_4509,1
Cluster_451,7
Cluster_4510,1
Cluster_4511,34
Cluster_4512,1
Cluster_4513,2
Cluster_4514,8
Cluster_4515,4
Cluster_4516,132
Cluster_4517,1
Cluster_4518,5
Cluster_4519,1
Cluster_452,2072
Cluster_4520,1
Cluster_4521,8
Cluster_4522,1
Cluster_4523,2
Cluster_4524,4
Cluster_4525,19
Cluster_4526,1
Cluster_4527,1
Cluster_4528,1
Cluster_4529,5
Cluster_453,134
Cluster_4530,2
Cluster_4531,1
Cluster_4532,1
Cluster_4533,1
Cluster_4534,1
Cluster_4535,1
Cluster_4536,13
Cluster_4537,63
Cluster_4538,5
Cluster_4539,1
Cluster_454,28
Cluster_4540,533
Cluster_4541,2
Cluster_4542,2
Cluster_4543,131
Cluster_4544,8
Cluster_4545,1
Cluster_4546,6
Cluster_4547,1
Cluster_4548,39
Cluster_4549,196
Cluster_455,3
Cluster_4550,2
Cluster_4551,5
Cluster_4552,1
Cluster_4553,1
Cluster_4554,2
Cluster_4555,3
Cluster_4556,1
Cluster_4557,18
Cluster_4558,1
Cluster_4559,9
Cluster_456,26
Cluster_4560,7
Cluster_4561,15
Cluster_4562,29
Cluster_4563,128
Cluster_4564,3
Cluster_4565,4
Cluster_4566,2
Cluster_4567,1
Cluster_4568,5
Cluster_4569,54
Cluster_457,483
Cluster_4570,1
Cluster_4571,1
Cluster_4572,1
Cluster_4573,23
Cluster_4574,2
Cluster_4575,2
Cluster_4576,1
Cluster_4577,6
Cluster_4578,10
Cluster_4579,1
Cluster_458,1
Cluster_4580,1
Cluster_4581,2
Cluster_4582,1
Cluster_4583,2
Cluster_4584,7
Cluster_4585,10
Cluster_4586,1
Cluster_4587,1
Cluster_4588,1
Cluster_4589,1
Cluster_459,54
Cluster_4590,1
Cluster_4591,1
Cluster_4592,1
Cluster_4593,10
Cluster_4594,57
Cluster_4595,174
Cluster_4596,112
Cluster_4597,2
Cluster_4598,1
Cluster_4599,12
Cluster_46,40
Cluster_460,11
Cluster_4600,1
Cluster_4601,1
Cluster_4602,1
Cluster_4603,1
Cluster_4604,1
Cluster_4605,1
Cluster_4606,1
Cluster_4607,1
Cluster_4608,1
Cluster_4609,1
Cluster_461,1
Cluster_4610,1
Cluster_4611,1
Cluster_4612,1
Cluster_4613,2
Cluster_4614,1
Cluster_4615,1
Cluster_4616,1
Cluster_4617,9
Cluster_4618,21
Cluster_4619,1
Cluster_462,2
Cluster_4620,1
Cluster_4621,1
Cluster_4622,1
Cluster_4623,1
Cluster_4624,1
Cluster_4625,13
Cluster_4626,23
Cluster_4627,3
Cluster_4628,3
Cluster_4629,18
Cluster_463,1
Cluster_4630,1
Cluster_4631,1
Cluster_4632,2
Cluster_4633,5
Cluster_4634,1
Cluster_4635,2
Cluster_4636,2
Cluster_4637,1
Cluster_4638,91
Cluster_4639,84
Cluster_464,1
Cluster_4640,25
Cluster_4641,1
Cluster_4642,1
Cluster_4643,2
Cluster_4644,1
Cluster_4645,1
Cluster_4646,1
Cluster_4647,1
Cluster_4648,2
Cluster_4649,1
Cluster_465,1
Cluster_4650,1
Cluster_4651,2
Cluster_4652,2
Cluster_4653,4
Cluster_4654,3
Cluster_4655,1
Cluster_4656,1
Cluster_4657,2
Cluster_4658,1
Cluster_4659,1
Cluster_466,1
Cluster_4660,6
Cluster_4661,6
Cluster_4662,1
Cluster_4663,127
Cluster_4664,3
Cluster_4665,2
Cluster_4666,1
Cluster_4667,3
Cluster_4668,3
Cluster_4669,3
Cluster_467,1
Cluster_4670,8
Cluster_4671,9
Cluster_4672,7
Cluster_4673,13
Cluster_4674,11
Cluster_4675,3
Cluster_4676,6
Cluster_4677,1
Cluster_4678,4
Cluster_4679,3
Cluster_468,2
Cluster_4680,1
Cluster_4681,1
Cluster_4682,8
Cluster_4683,2
Cluster_4684,2
Cluster_4685,4
Cluster_4686,537
Cluster_4687,4
Cluster_4688,25
Cluster_4689,29
Cluster_469,1
Cluster_4690,13
Cluster_4691,3
Cluster_4692,1
Cluster_4693,1
Cluster_4694,1
Cluster_4695,1
Cluster_4696,1
Cluster_4697,1
Cluster_4698,1
Cluster_4699,1
Cluster_47,1
Cluster_470,1
Cluster_4700,1
Cluster_4701,1
Cluster_4702,1
Cluster_4703,2
Cluster_4704,450
Cluster_4705,9
Cluster_4706,6
Cluster_4707,2
Cluster_4708,2
Cluster_4709,192
Cluster_471,2
Cluster_4710,3
Cluster_4711,85
Cluster_4712,17
Cluster_4713,2
Cluster_4714,1
Cluster_4715,1
Cluster_4716,6
Cluster_4717,16
Cluster_4718,4
Cluster_4719,1
Cluster_472,7
Cluster_4720,3
Cluster_4721,1
Cluster_4722,128
Cluster_4723,2
Cluster_4724,1
Cluster_4725,19
Cluster_4726,8
Cluster_4727,1
Cluster_4728,1
Cluster_4729,2
Cluster_473,31
Cluster_4730,1
Cluster_4731,1
Cluster_4732,12
Cluster_4733,1
Cluster_4734,19
Cluster_4735,1
Cluster_4736,2
Cluster_4737,40
Cluster_4738,1
Cluster_4739,40
Cluster_474,18
Cluster_4740,20
Cluster_4741,1
Cluster_4742,1
Cluster_4743,3
Cluster_4744,10
Cluster_4745,8
Cluster_4746,1
Cluster_4747,3
Cluster_4748,38
Cluster_4749,7
Cluster_475,561
Cluster_4750,3
Cluster_4751,1
Cluster_4752,2
Cluster_4753,7
Cluster_4754,1
Cluster_4755,1
Cluster_4756,3
Cluster_4757,2
Cluster_4758,3
Cluster_4759,2
Cluster_476,1
Cluster_4760,2
Cluster_4761,1
Cluster_4762,1
Cluster_4763,3
Cluster_4764,3
Cluster_4765,1
Cluster_4766,4
Cluster_4767,1
Cluster_4768,1
Cluster_4769,1
Cluster_477,32
Cluster_4770,1
Cluster_4771,4
Cluster_4772,1
Cluster_4773,1
Cluster_4774,1
Cluster_4775,3
Cluster_4776,1
Cluster_4777,4
Cluster_4778,1
Cluster_4779,1
Cluster_478,22
Cluster_4780,1
Cluster_4781,2
Cluster_4782,1
Cluster_4783,3
Cluster_4784,1
Cluster_4785,2
Cluster_4786,1
Cluster_4787,2
Cluster_4788,1
Cluster_4789,4
Cluster_479,2139
Cluster_4790,2
Cluster_4791,1
