Genome Cluster ID,Number of Non-redundant Genomes
Cluster_1397,3
Cluster_1398,1
Cluster_1399,1
Cluster_14,11
Cluster_140,43
Cluster_1400,1
Cluster_1401,11
Cluster_1402,8
Cluster_1403,2
Cluster_1404,1
Cluster_1405,64
Cluster_1406,2
Cluster_1407,1
Cluster_1408,2
Cluster_1409,1
Cluster_141,3
Cluster_1410,11
Cluster_1411,3
Cluster_1412,4
Cluster_1413,2
Cluster_1414,2
Cluster_1415,48
Cluster_1416,1
Cluster_1417,3
Cluster_1418,11
Cluster_1419,10
Cluster_142,1
Cluster_1420,8
Cluster_1421,1
Cluster_1422,1
Cluster_1423,10
Cluster_1424,3
Cluster_1425,10
Cluster_1426,1
Cluster_1427,1
Cluster_1428,1
Cluster_1429,2
Cluster_143,8
Cluster_1430,1
Cluster_1431,2
Cluster_1432,1
Cluster_1433,2
Cluster_1434,3
Cluster_1435,20
Cluster_1436,23
Cluster_1437,3
Cluster_1438,1
Cluster_1439,1
Cluster_144,1
Cluster_1440,8
Cluster_1441,14
Cluster_1442,1
Cluster_1443,9
Cluster_1444,2
Cluster_1445,5
Cluster_1446,1
Cluster_1447,3
Cluster_1448,6
Cluster_1449,1
Cluster_145,30
Cluster_1450,10
Cluster_1451,3
Cluster_1452,2
Cluster_1453,1
Cluster_1454,1
Cluster_1455,1
Cluster_1456,1
Cluster_1457,13
Cluster_1458,2
Cluster_1459,19
Cluster_146,93
Cluster_1460,3
Cluster_1461,21
Cluster_1462,9
Cluster_1463,2
Cluster_1464,3
Cluster_1465,10
Cluster_1466,2
Cluster_1467,19
Cluster_1468,2
Cluster_1469,3
Cluster_147,1581
Cluster_1470,5
Cluster_1471,5
Cluster_1472,4
Cluster_1473,1
Cluster_1474,5
Cluster_1475,18
Cluster_1476,1
Cluster_1477,1
Cluster_1478,1
Cluster_1479,2
Cluster_148,749
Cluster_1480,1
Cluster_1481,3
Cluster_1482,2
Cluster_1483,2
Cluster_1484,1
Cluster_1485,2
Cluster_1486,1
Cluster_1487,2
Cluster_1488,1
Cluster_1489,4
Cluster_149,107
Cluster_1490,1
Cluster_1491,2
Cluster_1492,1
Cluster_1493,1
Cluster_1494,2
Cluster_1495,3
Cluster_1496,3
Cluster_1497,1
Cluster_1498,1
Cluster_1499,1
Cluster_15,339
Cluster_150,2
Cluster_1500,2
Cluster_1501,1
Cluster_1502,1
Cluster_1503,2
Cluster_1504,1
Cluster_1505,2
Cluster_1506,1
Cluster_1507,1
Cluster_1508,8
Cluster_1509,1
Cluster_151,1
Cluster_1510,3
Cluster_1511,1
Cluster_1512,2
Cluster_1513,6
Cluster_1514,2
Cluster_1515,1
