sid,within_sample_diversity,location
sample_6772,0.1278310820937105,West
sample_10855,0.0047070759299949775,West
sample_7346,0.07070695620022056,West
sample_6392,0.0029567181225519136,West
sample_7309,0.004306883099213161,West
sample_7371,0.04885720558768808,West
sample_7378,0.00510452432982974,West
sample_10879,0.008694838757273386,West
sample_6341,0.17099021005973733,West
sample_10880,0.005259169029746269,West
sample_7397,0.008885678033127302,West
sample_10878,0.01705138082008977,West
sample_6344,0.0009200406808376727,West
sample_10184,0.08776932778076052,West
sample_6157,0.017139885842417574,West
sample_6722,0.03321696511105361,West
sample_6013,0.06658073414735095,West
sample_5211,0.01903597137875913,West
sample_6194,0.05245429416153518,West
sample_6592,0.0041277613822800685,West
sample_7334,0.004230413116913686,West
sample_6196,0.01399637919619113,West
sample_6677,0.05368142386491198,West
sample_5977,0.08654264985996979,West
sample_7359,0.016910296672335293,West
sample_10845,0.025186028395930073,West
sample_5491,0.0017110330343126955,West
sample_6686,0.10875038436548634,West
sample_10871,0.012153070292487248,West
sample_6299,0.0323657967610884,West
sample_7361,0.025764808832682607,West
sample_5786,0.03862870414420522,West
sample_5979,0.01800064654772536,West
sample_12243,0.040386329652633994,West
sample_7287,0.0011672581773266837,West
sample_7083,0.05274102050444709,East
sample_10737,0.003701105883471392,West
sample_6369,0.015293040919129272,West
sample_5200,0.006951579732133505,West
sample_10734,0.00690502470633931,West
sample_10865,0.22644507842540276,West
sample_7317,0.0019769786235081257,West
sample_5401,0.04132029425464074,West
sample_5395,0.004416658433559339,West
sample_6406,0.004650285155793895,West
sample_5490,0.16916293272505875,West
sample_7461,0.0,West
sample_6741,0.1910883679186396,West
sample_7054,0.005272308916154918,West
sample_6285,0.0237901062767234,West
sample_10647,0.0011807424863505371,West
sample_5983,0.03193606343544749,West
sample_7485,0.0,West
sample_6717,0.08535187146315713,East
sample_10762,0.010659355425127222,West
sample_2399,0.016541320817033574,West
sample_5346,0.010247986379693527,West
sample_8192,0.02750265379330587,West
sample_7291,0.005171811192407183,West
sample_7458,0.5,West
sample_4913,0.004025645403196889,West
107201700590,0.041032400761004666,East
sample_7456,0.0,West
sample_8024,0.02554691216811449,West
sample_2569,0.05721420001567406,East
sample_8410,0.032832571406417245,West
sample_4570,0.002706402704922557,West
sample_7481,0.0,West
sample_5180,0.0017114992880013587,West
sample_7050,0.012220720031980999,West
sample_8415,0.037278251925845614,West
